RSSI,IOT,MCS,CQI,RSRP,RSRQ,BW_Utilization (%),RB_Allocation,UE_Status,QoS_Class,Beamforming,Traffic_Load (kbps),Latency (ms),Backhaul_Status,Mobility,Frequency_Layer,Network_Slice,Handover_Metrics (ms),Retransmission_Rate (%),NFV_Status,Physical_Cell_ID,Active_Features,Energy_Consumption (Watts),UE_Demand (kbps),Current_Resource_Allocation (%),Channel_Conditions
-81,-37,17,6,-82,-17,45.394338980904024,64,connected,9,19,4718,87,1,high-speed,millimeter wave,1,115,10.421921252396999,1,214,MIMO,35,9695,26.02590229180749,9
-102,-100,1,6,-81,-18,9.25435424436818,170,handover,8,3,6615,101,1,high-speed,millimeter wave,3,147,21.398547726403926,0,39,carrier aggregation,23,12385,79.7220882691581,7
-91,-58,20,11,-87,-16,88.63423721902662,199,connected,5,25,10905,15,1,high-speed,sub-6 GHz,4,414,24.132488126730223,1,149,None,359,14653,3.8016753463315567,3
-93,-11,19,1,-122,-20,96.9447200212537,101,connected,5,7,8945,51,0,high-speed,sub-6 GHz,3,80,13.793412069067248,0,393,None,291,8887,79.73658463137367,2
-106,-81,10,4,-127,-7,100.0,98,idle,1,58,11657,27,0,high-speed,sub-6 GHz,4,463,20.812028612380818,0,125,MIMO,39,6799,4.854286335869817,0
-88,-18,26,15,-98,-7,47.74264531432994,105,connected,1,7,14694,31,1,stationary,millimeter wave,4,414,17.611218342198953,1,275,carrier aggregation,153,11865,12.0903225170917,7
-81,-43,16,2,-134,-20,18.57462312730244,106,connected,3,54,5928,79,1,high-speed,sub-6 GHz,3,473,3.6211975870143047,1,471,None,460,3664,29.866691294777514,9
-89,-40,3,6,-104,-5,39.936178603544136,152,connected,6,60,8818,74,0,stationary,millimeter wave,0,244,6.451029510242684,0,245,carrier aggregation,433,5751,16.111577759588858,8
-102,-97,20,6,-109,-19,42.77955900821185,242,connected,4,3,8008,54,0,stationary,sub-6 GHz,2,272,9.88641029373393,0,492,None,360,7185,15.399583540301832,1
-75,-16,14,1,-133,-4,84.12353989637074,194,connected,8,28,7292,77,0,stationary,millimeter wave,1,109,7.120911390657571,0,189,carrier aggregation,167,5230,39.92231531052357,10
-81,-13,1,13,-125,-9,70.86251716474459,192,connected,5,6,8108,94,0,stationary,sub-6 GHz,0,6,7.6162464214604615,1,3,None,89,9786,38.20187246333564,0
-120,-52,11,12,-116,-16,37.76881592758359,164,connected,5,20,12279,82,0,stationary,sub-6 GHz,2,258,11.197748550679094,0,84,carrier aggregation,86,4278,4.861164639893111,4
-100,-1,4,2,-138,-8,38.995842758441654,260,connected,1,29,10008,93,1,high-speed,millimeter wave,0,79,23.388054021506235,1,271,MIMO,477,4963,8.178146358944115,10
-116,-66,10,5,-135,-5,63.85368906257268,205,connected,5,12,7713,33,0,high-speed,millimeter wave,2,55,17.665501753200843,1,115,carrier aggregation,60,11174,70.45145397307108,0
-88,-52,19,15,-87,-18,45.039133889357686,264,connected,0,33,12529,78,1,stationary,sub-6 GHz,3,106,13.218126587415664,1,24,MIMO,22,5236,64.76426181093738,0
-91,-97,11,11,-80,-16,28.674812525006313,170,idle,2,5,11360,87,0,stationary,millimeter wave,3,300,7.115804631324214,0,240,MIMO,225,9345,96.38719554440773,3
-118,-7,22,14,-134,-20,61.956216471319024,78,connected,8,63,12085,91,0,stationary,millimeter wave,1,288,16.965139639645113,1,404,carrier aggregation,83,3477,7.279943659923371,2
-111,-42,14,11,-136,-7,49.987313887862975,192,handover,3,45,7448,52,1,high-speed,sub-6 GHz,4,331,9.246754992231239,1,132,None,256,11944,68.50684385718871,3
-90,-52,29,1,-83,-15,100.0,122,connected,2,53,3049,106,1,stationary,sub-6 GHz,0,451,15.23705189062473,0,138,MIMO,419,11653,64.51646294678144,10
-106,-66,15,14,-134,-20,100.0,208,connected,6,12,10108,36,1,high-speed,sub-6 GHz,2,312,4.586869490008024,1,16,MIMO,45,4401,94.31412565805556,4
-116,-58,21,6,-105,-18,55.42955306249571,210,connected,1,50,12851,57,1,high-speed,sub-6 GHz,0,314,15.454704170321612,1,127,MIMO,309,10277,71.83090990027272,3
-98,-32,10,5,-111,-11,22.378204220257537,171,connected,5,25,12378,26,0,high-speed,sub-6 GHz,0,60,8.79796183509746,1,4,MIMO,477,5211,62.366308560107385,0
-110,-63,14,2,-121,-17,100.0,120,connected,3,19,10627,94,0,stationary,millimeter wave,3,18,8.911108301735723,0,18,None,115,7211,49.479748939175124,9
-80,-16,1,14,-113,-16,61.14018301755261,153,connected,1,23,12562,80,1,high-speed,millimeter wave,4,5,6.337525779160261,1,43,MIMO,461,10528,6.422834830143842,0
-83,-49,10,10,-121,-5,36.53801246599056,199,connected,6,5,6953,49,1,stationary,millimeter wave,1,366,20.722765459170162,0,128,None,411,5842,39.40856790521745,4
-91,-46,19,4,-137,-4,74.00645942043676,184,connected,9,39,8756,111,1,stationary,millimeter wave,4,261,6.628950279178472,0,424,MIMO,76,11887,53.82004220082908,9
-104,-47,6,15,-129,-15,89.62885656066503,274,connected,6,56,5684,101,1,high-speed,sub-6 GHz,2,294,11.916112221498276,1,157,None,225,9289,23.88537333571653,10
-112,-86,10,10,-138,-7,7.903779803567048,130,connected,1,18,5952,59,1,stationary,sub-6 GHz,2,7,17.61531606967433,0,135,None,373,8856,20.754439416511506,8
-85,-87,23,12,-139,-12,83.1919584719172,233,connected,6,47,8742,62,1,high-speed,sub-6 GHz,2,4,6.176773880321981,1,300,MIMO,175,9533,8.782749933103752,9
-117,-89,21,4,-103,-13,73.87963621769123,19,connected,1,39,10319,76,0,stationary,sub-6 GHz,0,262,8.920593480317569,0,348,None,83,12753,31.5116967018372,9
-77,-68,17,12,-136,-6,12.29826442359409,193,connected,4,23,12882,87,0,high-speed,sub-6 GHz,0,190,10.388182875583638,1,48,carrier aggregation,321,7787,11.304534476976913,7
-84,-29,22,0,-132,-18,100.0,65,connected,2,55,7639,15,1,stationary,millimeter wave,1,215,8.415331367643557,0,247,None,268,4621,13.455783187537973,9
-79,-17,3,10,-138,-8,20.038899115858026,37,connected,6,29,13570,70,0,high-speed,millimeter wave,0,445,20.008744067949205,0,456,None,73,6169,38.86601855487093,2
-112,-45,26,4,-139,-14,5.071252536679669,94,connected,5,61,9603,18,0,stationary,millimeter wave,4,404,1.3661237432874784,0,44,None,305,8682,62.75693544160858,8
-110,-37,14,0,-95,-11,74.10932476788645,152,connected,0,19,4625,113,0,stationary,millimeter wave,3,51,15.730614632995561,1,311,MIMO,168,7058,17.512753299580087,4
-90,-66,10,14,-134,-4,56.663237541821125,184,connected,8,18,3711,74,1,high-speed,sub-6 GHz,0,286,17.001155404001047,1,235,carrier aggregation,27,5789,13.064212938045372,5
-81,-38,10,5,-126,-16,6.214701005578329,126,connected,6,1,9777,99,0,high-speed,sub-6 GHz,0,301,19.455480813032796,0,242,carrier aggregation,342,11046,6.857116471792368,7
-119,-13,5,13,-121,-6,64.34247268755746,227,connected,0,61,8993,94,1,stationary,sub-6 GHz,2,110,5.242302486820741,1,341,carrier aggregation,250,11137,10.635070091319431,1
-85,-71,25,5,-72,-10,32.19473350088347,65,connected,9,5,15008,13,0,high-speed,sub-6 GHz,4,439,20.29932909502852,0,315,MIMO,435,13983,73.17614450180517,0
-84,-72,10,3,-124,-11,99.40531745866997,135,connected,9,54,12399,61,0,stationary,sub-6 GHz,0,62,4.198938569011248,0,294,MIMO,28,4623,67.16648525785925,8
-102,-90,19,14,-114,-15,100.0,154,connected,9,52,6135,28,0,high-speed,millimeter wave,0,296,12.898456144389428,1,333,MIMO,36,4987,46.26037768780936,2
-73,-13,9,10,-72,-11,100.0,37,connected,5,27,10703,62,1,high-speed,millimeter wave,0,25,14.427185475311573,1,391,carrier aggregation,55,12993,41.638093594200896,3
-120,-71,24,1,-118,-19,65.70439239783701,247,connected,4,55,7121,95,1,stationary,millimeter wave,3,141,18.313779091244832,0,152,MIMO,296,5065,39.796030039980046,4
-94,-46,11,11,-120,-20,40.777880723301,272,connected,4,5,9301,67,1,high-speed,millimeter wave,3,383,6.59711466251604,0,173,MIMO,456,12433,15.827484702176452,0
-110,-47,26,1,-114,-6,69.85761334217237,30,connected,6,25,10329,14,0,stationary,sub-6 GHz,1,105,16.845481453129928,1,447,carrier aggregation,456,5975,37.51992499029944,3
-82,-1,6,15,-84,-11,94.98906077606817,46,idle,9,38,9772,79,0,high-speed,sub-6 GHz,2,116,2.4740939969926714,1,158,None,395,11370,19.88731100191522,6
-114,-96,24,1,-114,-20,22.334753662816503,36,connected,2,46,13419,68,1,stationary,millimeter wave,0,38,17.633770708797094,0,205,carrier aggregation,351,9995,81.89326387764541,0
-114,-64,17,14,-71,-11,89.51422065687912,108,connected,7,58,10404,45,0,high-speed,sub-6 GHz,2,218,14.290745707335038,1,284,MIMO,299,11293,27.65470423945211,6
-88,-24,21,8,-117,-19,53.066786368536306,217,connected,2,50,10140,99,1,stationary,millimeter wave,2,28,7.679535847053336,0,495,MIMO,76,4578,85.45851103405734,6
-79,-86,7,2,-78,-13,100.0,260,connected,1,21,13368,114,0,stationary,sub-6 GHz,3,416,18.483006156120737,1,341,carrier aggregation,5,6763,6.7064237569581024,9
-82,-29,24,13,-89,-15,73.42294428838747,40,connected,4,37,7413,53,0,high-speed,sub-6 GHz,3,172,10.024611246195738,1,380,MIMO,484,8482,27.637254221263518,3
-87,-8,20,0,-115,-9,34.98779802543969,33,connected,7,18,10210,28,1,stationary,sub-6 GHz,1,474,4.702673302804961,0,213,carrier aggregation,452,6801,95.36386964395678,6
-99,-2,10,9,-83,-9,46.23994678415483,235,connected,5,21,12346,47,0,stationary,millimeter wave,3,380,6.268717760066925,1,417,MIMO,450,10306,2.4102549483215996,4
-102,-9,4,12,-74,-5,64.17760666825737,62,connected,4,53,7250,42,0,stationary,millimeter wave,2,86,8.267864518375555,1,351,None,272,7803,51.06829874546877,0
-74,-52,13,0,-109,-11,80.78977377110638,201,connected,6,20,13426,25,1,high-speed,millimeter wave,4,152,17.935366066211238,1,372,MIMO,302,4128,25.750749061857913,6
-82,-86,15,0,-138,-15,71.50246852660945,89,connected,3,3,5523,24,1,high-speed,millimeter wave,1,147,24.55621774713653,1,161,carrier aggregation,150,10782,69.67098235992617,9
-113,-98,26,3,-94,-15,36.79289496645392,78,connected,2,26,9679,99,0,high-speed,sub-6 GHz,0,425,7.567262500006842,0,258,MIMO,165,9440,76.77239089227078,2
-115,-79,26,3,-128,-17,63.93677777031906,85,connected,8,31,10802,105,0,stationary,sub-6 GHz,2,125,14.408769475102432,1,81,MIMO,406,10815,57.54530457143326,6
-102,-94,25,15,-124,-15,24.46918202043733,56,handover,7,33,4453,82,1,high-speed,millimeter wave,0,226,7.578642320074405,0,492,MIMO,340,10635,5.913517057229467,8
-110,-62,16,2,-136,-11,51.80547444650789,75,handover,9,34,5542,91,0,high-speed,sub-6 GHz,3,93,23.09025097057256,1,425,None,190,7021,72.09059175529747,10
-111,-86,22,11,-134,-8,14.540769553863342,29,connected,0,8,7381,25,0,high-speed,millimeter wave,3,370,17.468502534951583,0,7,carrier aggregation,428,12730,32.28420307220811,9
-91,-74,22,8,-97,-14,57.891917914091735,124,connected,6,7,7839,86,1,stationary,sub-6 GHz,0,134,4.488435163633215,1,467,carrier aggregation,342,10649,5.230058438883267,5
-91,-74,18,3,-89,-12,100.0,116,connected,6,25,13236,66,0,stationary,millimeter wave,2,154,14.485026791153318,1,136,carrier aggregation,494,7471,47.00237243740937,8
-71,-2,27,11,-77,-6,61.228380918000205,14,idle,5,26,5187,109,0,stationary,millimeter wave,4,343,9.164052298707828,1,374,None,174,11906,26.449462896192188,10
-120,-71,22,12,-82,-20,61.829670012622515,197,connected,5,22,8716,54,0,stationary,millimeter wave,3,396,7.889630704995025,0,350,None,270,11666,44.02260523738421,7
-81,-77,7,10,-107,-20,100.0,64,connected,4,28,5941,58,1,high-speed,millimeter wave,0,204,9.878775249800551,1,150,None,88,9461,12.696407236214391,4
-117,-68,10,7,-72,-14,91.99666094408744,1,connected,2,62,10521,87,0,stationary,millimeter wave,0,498,8.795089174960015,1,285,None,237,8564,69.50137322493244,8
-98,-30,4,15,-82,-17,79.31123416610801,168,connected,2,62,3655,51,0,high-speed,millimeter wave,2,333,2.7592668685942767,1,249,None,145,9175,68.00616540924987,5
-107,-85,12,13,-110,-16,73.84545873183984,144,connected,0,25,13099,111,1,stationary,millimeter wave,2,225,18.9528940941323,1,478,None,482,6575,92.61407603709813,1
-87,-4,5,3,-117,-14,49.71073484978416,125,handover,4,45,7773,16,0,high-speed,sub-6 GHz,4,97,13.05295588273777,1,276,MIMO,289,11765,85.6550862610439,1
-105,-42,18,5,-96,-4,33.47896804477802,7,connected,3,29,14254,34,0,high-speed,millimeter wave,1,62,19.78375088589454,1,342,MIMO,498,9039,64.70358597712374,0
-97,-30,15,10,-95,-8,94.94925650481639,235,connected,9,42,4972,91,1,high-speed,sub-6 GHz,0,201,15.055921420104234,0,309,None,76,11220,51.14747197910636,10
-73,-37,24,12,-94,-20,15.812620988870181,111,connected,0,42,8065,44,0,stationary,sub-6 GHz,4,243,16.895910847807485,0,312,MIMO,417,2233,31.539424675072702,8
-81,-63,18,6,-124,-7,31.148722766429664,130,handover,3,1,4734,21,0,high-speed,sub-6 GHz,3,189,15.90936029289341,1,212,MIMO,75,12962,69.39107421247287,9
-98,-83,10,13,-128,-5,100.0,17,connected,1,62,10105,57,0,high-speed,millimeter wave,1,173,7.296264901240207,0,141,MIMO,182,12597,99.16317614699228,6
-78,-31,21,13,-98,-6,37.78425188057967,143,connected,5,16,6423,25,0,stationary,sub-6 GHz,4,376,15.838861672599968,0,360,carrier aggregation,415,3484,78.97783586024313,8
-111,-13,6,6,-118,-4,92.89775385430633,126,handover,4,28,12148,91,0,stationary,millimeter wave,1,57,22.81520498164133,0,11,None,135,9954,54.21106076884653,5
-94,-62,3,6,-80,-7,48.89639894622669,229,connected,3,59,12775,81,1,stationary,sub-6 GHz,2,9,22.107936613302698,0,453,MIMO,275,14016,91.34670184727568,8
-103,-11,19,6,-96,-20,100.0,142,idle,7,40,10411,103,1,stationary,sub-6 GHz,4,6,8.398167595880029,1,370,MIMO,303,5777,53.45406107481803,5
-74,-11,7,8,-97,-16,77.26818758884804,205,connected,2,36,8504,88,1,stationary,millimeter wave,3,201,2.67268331616257,1,481,MIMO,39,6593,44.789807671854796,2
-73,-56,26,14,-90,-8,100.0,106,connected,1,43,8767,81,1,stationary,millimeter wave,1,5,18.65091000787062,0,60,None,312,12299,10.169583897743273,2
-117,-97,14,15,-98,-14,77.13571383352082,161,connected,5,14,5205,58,1,high-speed,sub-6 GHz,4,399,21.542696414215296,1,401,None,181,12872,62.579923293898574,2
-73,-56,15,8,-80,-20,67.63420192264337,134,idle,0,5,13533,113,0,high-speed,millimeter wave,1,306,4.225574335407602,0,158,None,285,3598,6.550585159671796,0
-98,-5,18,11,-102,-17,91.5652886196554,35,connected,0,9,12366,111,1,high-speed,millimeter wave,0,304,24.2822109201459,1,453,carrier aggregation,351,11059,35.84897137763979,10
-76,-91,14,1,-123,-4,34.09768851468414,233,connected,7,35,7134,46,0,high-speed,sub-6 GHz,3,111,9.699425365771141,0,102,None,150,8973,98.52939299338595,7
-71,-7,11,0,-96,-5,46.442976422618145,2,connected,0,53,7901,84,1,stationary,millimeter wave,2,7,3.3963241742627677,0,430,carrier aggregation,325,5656,62.53244521063229,10
-119,-41,10,9,-79,-13,50.01131324074824,261,connected,2,51,3079,44,0,stationary,millimeter wave,2,411,16.36822053651613,1,45,carrier aggregation,418,5190,12.933733120970082,8
-117,-72,30,8,-115,-14,46.819571022801554,53,connected,2,57,13275,49,1,stationary,sub-6 GHz,2,201,14.295202386782146,1,348,None,190,2698,33.19405644267388,3
-82,-35,1,13,-95,-14,97.86492657330886,222,connected,0,38,8410,98,0,stationary,millimeter wave,0,325,10.887511312178068,1,145,MIMO,461,8381,51.81472262831275,9
-82,-11,18,11,-104,-9,74.52949919186531,201,connected,4,53,11586,33,1,high-speed,millimeter wave,1,186,6.975776289300875,1,2,MIMO,42,5340,30.343905134334737,10
-97,-73,10,8,-71,-18,100.0,183,connected,7,46,6218,71,0,stationary,millimeter wave,3,31,14.616548536641263,0,66,carrier aggregation,177,11434,73.3885722914846,6
-106,-80,28,7,-132,-5,89.18325664447659,263,connected,7,48,8455,12,1,high-speed,sub-6 GHz,3,259,11.434954248849138,0,429,None,110,7040,10.252337473168971,3
-85,-18,29,8,-121,-11,64.46490199833411,154,handover,8,48,5800,18,0,stationary,millimeter wave,4,432,11.264853860707614,0,43,None,221,8971,41.75984075948993,7
-116,-40,6,14,-110,-9,100.0,44,connected,4,28,5251,73,0,high-speed,millimeter wave,0,31,4.753828076767649,0,12,carrier aggregation,477,4846,9.17813385937043,9
-71,-41,9,5,-109,-17,81.96155725520552,183,connected,5,53,11046,74,0,stationary,sub-6 GHz,0,244,16.306083608847658,0,171,carrier aggregation,50,13332,83.19198210964832,5
-84,-63,17,5,-133,-4,40.34825978619984,263,connected,8,18,13323,87,1,high-speed,sub-6 GHz,3,295,8.55857144757917,0,266,carrier aggregation,210,7726,77.502407419238,9
-89,-29,21,12,-74,-18,100.0,135,connected,0,56,8305,82,1,high-speed,sub-6 GHz,1,247,12.646708960781694,0,94,MIMO,459,11450,72.0073310977533,0
-108,-37,30,3,-83,-13,95.61833309167379,198,connected,3,3,4206,109,0,stationary,sub-6 GHz,1,152,6.1010513799197,0,239,None,233,8884,68.81159990039019,3
-97,-40,21,4,-126,-13,71.20263443099678,50,connected,9,50,4255,48,0,high-speed,sub-6 GHz,2,178,7.265565397231306,0,156,carrier aggregation,77,8589,78.8739905006025,10
-90,-56,8,10,-109,-5,35.06350079391505,17,connected,7,7,9454,65,1,high-speed,sub-6 GHz,1,444,9.67101513722426,1,183,MIMO,293,14198,65.83757107056879,2
-95,-43,5,1,-103,-17,62.175858655298946,10,handover,3,24,5273,21,1,stationary,millimeter wave,3,461,7.004608202442132,1,318,carrier aggregation,360,11551,95.19443166755498,4
-96,-56,20,12,-134,-11,64.67958041901515,239,connected,9,50,7232,61,0,high-speed,sub-6 GHz,0,363,4.601974796113977,1,196,MIMO,24,10283,81.92836782592148,4
-78,-30,22,2,-137,-11,41.00999778028015,15,connected,0,54,9740,44,1,stationary,sub-6 GHz,4,50,21.516226552389906,1,365,None,231,2795,70.11009337797434,9
-86,-45,25,8,-87,-8,57.80161682595964,105,idle,5,8,8421,59,0,high-speed,millimeter wave,3,171,2.886241862960368,1,452,None,165,4538,69.74061501859666,7
-75,-47,2,2,-94,-9,50.622276313687564,55,connected,5,12,13802,96,1,high-speed,sub-6 GHz,0,180,15.7741065502501,1,251,carrier aggregation,491,5938,43.924722274241844,1
-76,-6,16,12,-71,-15,11.57530762274834,211,connected,3,18,5048,42,0,stationary,sub-6 GHz,4,290,14.69678491461889,0,190,None,299,4901,55.377667557852575,9
-84,-41,14,15,-130,-8,98.9707285584224,39,idle,9,25,5287,97,0,high-speed,sub-6 GHz,0,263,19.808746816336818,0,37,MIMO,499,11386,46.34603219147715,4
-100,-43,21,6,-130,-4,69.53570496957717,238,handover,4,28,9805,59,0,high-speed,sub-6 GHz,2,205,5.479339103791973,1,96,carrier aggregation,378,3789,59.6983116754864,9
-98,-29,21,8,-103,-12,97.0825492227016,73,connected,3,0,9702,105,1,stationary,sub-6 GHz,3,281,8.633888253065072,1,457,None,194,5063,35.96956382133347,9
-83,-83,9,7,-115,-13,16.96037771756572,14,idle,6,22,7786,91,1,high-speed,sub-6 GHz,3,269,12.404116649308133,0,76,MIMO,472,13393,83.02499401682138,3
-91,-100,14,9,-101,-5,45.7111827235925,105,connected,7,25,7723,72,1,stationary,millimeter wave,4,266,12.731812694160258,1,52,None,467,4209,33.390155311865776,8
-114,-7,31,9,-133,-7,100.0,236,connected,1,52,9272,105,0,stationary,millimeter wave,4,365,7.5457076421469145,1,121,MIMO,492,12408,59.495996937196416,0
-72,-55,9,10,-114,-20,89.52475854233957,77,idle,8,48,8129,80,1,high-speed,millimeter wave,0,471,10.065424257030735,1,354,carrier aggregation,362,10245,25.07900100404593,3
-81,-42,21,3,-87,-19,29.06858656618349,114,idle,7,31,6303,78,1,high-speed,millimeter wave,3,354,22.53058070992545,0,329,MIMO,291,7685,49.91915212654669,5
-103,-15,28,8,-97,-16,57.16655367459681,64,connected,3,41,7807,80,0,high-speed,sub-6 GHz,1,54,6.532754581692007,1,225,MIMO,266,12147,18.924853615184777,1
-115,-65,19,14,-72,-9,100.0,160,connected,6,1,8682,35,1,high-speed,sub-6 GHz,4,363,21.557250834898948,0,153,MIMO,312,9996,46.56092180991786,6
